matlab_mouse_index,python_index,session_file,session_id,lag,block_a_pv_correlation,block_b_pv_correlation,mean_block_pv_correlation
44,43,session_794812542.mat,794812542,21,0.6139385129077465,0.593360763809,0.6036496383583733
44,43,session_794812542.mat,794812542,22,0.6159518282814187,0.5793571573611772,0.5976544928212979
44,43,session_794812542.mat,794812542,23,0.6327104284368072,0.6020931407120312,0.6174017845744193
44,43,session_794812542.mat,794812542,24,0.6098124587751014,0.582714632264582,0.5962635455198417
44,43,session_794812542.mat,794812542,25,0.6172549474063602,0.5580085395126708,0.5876317434595155
44,43,session_794812542.mat,794812542,26,0.5797243723526176,0.5986940904906216,0.5892092314216196
44,43,session_794812542.mat,794812542,27,0.6019451249385969,0.5716545608279994,0.5867998428832981
44,43,session_794812542.mat,794812542,28,0.5503992076383024,0.581648964559518,0.5660240860989102
44,43,session_794812542.mat,794812542,29,0.5723641568191131,0.6211460009377426,0.5967550788784279
48,47,session_816200189.mat,816200189,1,0.8805824597345383,0.8508157988022579,0.8656991292683981
48,47,session_816200189.mat,816200189,2,0.8797827571431046,0.8433811749926484,0.8615819660678765
48,47,session_816200189.mat,816200189,3,0.8791348657420177,0.8431048586681112,0.8611198622050644
48,47,session_816200189.mat,816200189,4,0.8759154602679057,0.8398702626796894,0.8578928614737975
48,47,session_816200189.mat,816200189,5,0.8756165859142107,0.8362215016639648,0.8559190437890878
48,47,session_816200189.mat,816200189,6,0.8744226450201099,0.8418601354397834,0.8581413902299466
48,47,session_816200189.mat,816200189,7,0.8727617080931782,0.8363692864578559,0.854565497275517
48,47,session_816200189.mat,816200189,8,0.8775451244928544,0.8312085581047863,0.8543768412988204
48,47,session_816200189.mat,816200189,9,0.8773283598209082,0.836399891576553,0.8568641256987306
48,47,session_816200189.mat,816200189,10,0.8761502087755737,0.8375219965110178,0.8568361026432958
48,47,session_816200189.mat,816200189,11,0.8786370854831858,0.8291239831637188,0.8538805343234523
48,47,session_816200189.mat,816200189,12,0.8739445782096467,0.8268225574804169,0.8503835678450318
48,47,session_816200189.mat,816200189,13,0.8732321664074302,0.8247146091254863,0.8489733877664583
48,47,session_816200189.mat,816200189,14,0.8796141080284245,0.8266316565376133,0.8531228822830189
48,47,session_816200189.mat,816200189,15,0.8706716178142854,0.8284499496048243,0.8495607837095549
48,47,session_816200189.mat,816200189,16,0.8764742377360358,0.8309814064846035,0.8537278221103197
